factor	pwy	pwy_name	pwy_gene_num	num_snp_fdr.0.2	num_snp_noMHC	pval_in_fitting	slope_in_fitting	rsq_in_fitting	pval_in_resampling
EUR.CD_pwy1029_pc4	R-HSA-177504	Retrograde neurotrophin signalling	7	3	3	0.661	-0.406	0.115	0.67
EUR.CD_pwy329_pc1	R-HSA-5083636	Defective GALNT12 causes colorectal cancer 1 (CRCS1)	19	3	3	0.004	1.099	0.992	0.019
EUR.CD_pwy413_pc4	R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	66	3	3	0.201	-0.846	0.638	0.266
EUR.CD_pwy482_pc3	R-HSA-8964038	LDL clearance	13	3	3	0.677	-0.356	0.104	0.68
EUR.CD_pwy501_pc2	R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	90	3	3	0.507	0.899	0.243	0.387
EUR.CD_pwy501_pc5	R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	78	3	2	0.813	0.235	0.035	0.786
EUR.CD_pwy64_pc4	R-HSA-8866907	Activation of the TFAP2 (AP-2) family of transcription factors	22	4	4	0.922	0.116	0.004	0.906
EUR.CD_pwy741_pc2	R-HSA-8857538	PTK6 promotes HIF1A stabilization	18	3	3	0.566	-0.578	0.188	0.438
EUR.CD_pwy755_pc2	R-HSA-9005895	Pervasive developmental disorders	14	3	3	0.507	0.899	0.243	0.387
EUR.CD_pwy755_pc5	R-HSA-9005895	Pervasive developmental disorders	9	3	2	0.813	0.235	0.035	0.786
EUR.CD_pwy931_pc5	R-HSA-8951936	RUNX3 regulates p14-ARF	7	3	3	0.777	-0.233	0.05	0.842
EUR.IBD_pwy1034_pc3	R-HSA-72702	Ribosomal scanning and start codon recognition	13	3	3	0.557	0.195	0.196	0.407
EUR.IBD_pwy1038_pc4	R-HSA-69242	S Phase	27	3	3	0.701	0.172	0.089	0.707
EUR.IBD_pwy1059_pc1	R-HSA-5669034	TNFs bind their physiological receptors	88	3	3	0.307	1.18	0.48	0.273
EUR.IBD_pwy1064_pc4	R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	25	4	4	0.897	-0.057	0.007	0.87
EUR.IBD_pwy1071_pc5	R-HSA-918233	TRAF3-dependent IRF activation pathway	66	3	3	0.396	-0.446	0.364	0.326
EUR.IBD_pwy1082_pc4	R-HSA-167243	Tat-mediated HIV elongation arrest and recovery	74	3	3	0.755	-0.142	0.06	0.79
EUR.IBD_pwy1083_pc4	R-HSA-167246	Tat-mediated elongation of the HIV-1 transcript	74	4	4	0.476	-0.28	0.181	0.497
EUR.IBD_pwy1117_pc4	R-HSA-167172	Transcription of the HIV genome	72	4	4	0.47	0.242	0.185	0.476
EUR.IBD_pwy1118_pc4	R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	7	3	3	0.379	0.283	0.386	0.336
EUR.IBD_pwy1136_pc3	R-HSA-72649	Translation initiation complex formation	6	3	3	0.566	0.189	0.188	0.435
EUR.IBD_pwy1174_pc3	R-HSA-5689603	UCH proteinases	26	4	4	0.15	0.589	0.553	0.144
EUR.IBD_pwy1210_pc3	R-HSA-381038	XBP1(S) activates chaperone genes	10	3	3	0.786	0.108	0.046	0.78
EUR.IBD_pwy198_pc2	R-HSA-200425	Carnitine metabolism	11	3	3	0.616	-0.409	0.148	0.548
EUR.IBD_pwy233_pc2	R-HSA-73886	Chromosome Maintenance	52	3	3	0.662	-0.139	0.114	0.646
EUR.IBD_pwy283_pc4	R-HSA-69202	Cyclin E associated events during G1/S transition 	71	3	3	0.706	0.181	0.087	0.713
EUR.IBD_pwy305_pc3	R-HSA-73894	DNA Repair	13	3	3	0.071	-0.935	0.862	0.116
EUR.IBD_pwy310_pc4	R-HSA-69190	DNA strand elongation	9	3	3	0.72	-0.325	0.078	0.739
EUR.IBD_pwy32_pc4	R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	17	3	3	0.738	-0.2	0.069	0.745
EUR.IBD_pwy34_pc3	R-HSA-399997	Acetylcholine regulates insulin secretion	38	3	3	0.318	-0.465	0.465	0.298
EUR.IBD_pwy356_pc4	R-HSA-167169	HIV Transcription Elongation	22	4	4	0.476	-0.28	0.181	0.497
EUR.IBD_pwy357_pc4	R-HSA-167161	HIV Transcription Initiation	23	4	4	0.39	0.322	0.251	0.346
EUR.IBD_pwy358_pc4	R-HSA-167287	HIV elongation arrest and recovery	13	3	3	0.755	0.142	0.06	0.79
EUR.IBD_pwy361_pc3	R-HSA-3371511	HSF1 activation	10	4	4	0.129	1.781	0.59	0.168
EUR.IBD_pwy364_pc4	R-HSA-5610787	Hedgehog off state	31	3	3	0.771	-0.109	0.052	0.791
EUR.IBD_pwy376_pc2	R-HSA-5693538	Homology Directed Repair	8	3	3	0.378	-0.385	0.387	0.329
EUR.IBD_pwy378_pc3	R-HSA-450520	HuR (ELAVL1) binds and stabilizes mRNA	6	3	3	0.168	-0.597	0.693	0.133
EUR.IBD_pwy390_pc3	R-HSA-381070	IRE1alpha activates chaperones	6	3	3	0.59	0.229	0.168	0.553
EUR.IBD_pwy409_pc4	R-HSA-9670095	Inhibition of DNA recombination at telomere	53	3	3	0.677	-0.303	0.105	0.663
EUR.IBD_pwy462_pc2	R-HSA-109606	Intrinsic Pathway for Apoptosis	22	3	3	0.196	1.242	0.647	0.2
EUR.IBD_pwy480_pc3	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	75	3	3	0.529	-0.231	0.221	0.407
EUR.IBD_pwy482_pc3	R-HSA-8964038	LDL clearance	38	3	3	0.634	0.368	0.134	0.543
EUR.IBD_pwy501_pc5	R-HSA-9005891	Loss of function of MECP2 in Rett syndrome	15	3	3	0.055	0.82	0.893	0.158
EUR.IBD_pwy560_pc1	R-HSA-5689901	Metalloprotease DUBs	31	3	3	0.215	-0.712	0.616	0.245
EUR.IBD_pwy564_pc4	R-HSA-203927	MicroRNA (miRNA) biogenesis	6	3	3	0.71	0.212	0.084	0.721
EUR.IBD_pwy62_pc1	R-HSA-451326	Activation of kainate receptors upon glutamate binding	7	3	3	0.588	0.513	0.17	0.521
EUR.IBD_pwy64_pc4	R-HSA-8866907	Activation of the TFAP2 (AP-2) family of transcription factors	18	7	7	0.881	-0.073	0.004	0.893
EUR.IBD_pwy65_pc3	R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	28	3	3	0.566	-0.21	0.188	0.441
EUR.IBD_pwy683_pc4	R-HSA-5696398	Nucleotide Excision Repair	105	3	3	0.761	-0.118	0.057	0.772
EUR.IBD_pwy697_pc4	R-HSA-1852241	Organelle biogenesis and maintenance	19	3	3	0.754	0.161	0.061	0.804
EUR.IBD_pwy714_pc5	R-HSA-5654695	PI-3K cascade:FGFR2	26	3	3	0.702	-0.247	0.089	0.696
EUR.IBD_pwy716_pc5	R-HSA-5654720	PI-3K cascade:FGFR4	63	3	3	0.118	0.711	0.777	0.092
EUR.IBD_pwy722_pc3	R-HSA-6811555	PI5P Regulates TP53 Acetylation	8	3	3	0.504	0.455	0.246	0.374
EUR.IBD_pwy746_pc4	R-HSA-167290	Pausing and recovery of HIV elongation	68	3	3	0.755	0.142	0.06	0.79
EUR.IBD_pwy747_pc4	R-HSA-167238	Pausing and recovery of Tat-mediated HIV elongation	7	3	3	0.755	-0.142	0.06	0.79
EUR.IBD_pwy755_pc5	R-HSA-9005895	Pervasive developmental disorders	9	3	3	0.055	0.82	0.893	0.158
EUR.IBD_pwy78_pc1	R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	9	3	3	0.827	-0.187	0.03	0.777
EUR.IBD_pwy819_pc5	R-HSA-169893	Prolonged ERK activation events	7	3	3	0.317	-1.773	0.466	0.237
EUR.IBD_pwy824_pc2	R-HSA-8876725	Protein methylation	14	3	3	0.594	0.5	0.165	0.524
EUR.IBD_pwy837_pc4	R-HSA-71406	Pyruvate metabolism and Citric Acid (TCA) cycle	105	3	3	0.292	-1.133	0.502	0.271
EUR.IBD_pwy881_pc4	R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	42	3	3	0.294	0.552	0.498	0.287
EUR.IBD_pwy882_pc4	R-HSA-167160	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	24	3	3	0.294	0.552	0.498	0.287
EUR.IBD_pwy889_pc4	R-HSA-167162	RNA Polymerase II HIV Promoter Escape	9	4	4	0.39	0.322	0.251	0.346
EUR.IBD_pwy890_pc1	R-HSA-674695	RNA Polymerase II Pre-transcription Events	7	3	3	0.544	0.367	0.208	0.46
EUR.IBD_pwy890_pc4	R-HSA-674695	RNA Polymerase II Pre-transcription Events	56	4	4	0.496	0.204	0.166	0.502
EUR.IBD_pwy891_pc4	R-HSA-73776	RNA Polymerase II Promoter Escape	6	4	4	0.39	0.322	0.251	0.346
EUR.IBD_pwy894_pc4	R-HSA-75953	RNA Polymerase II Transcription Initiation	32	4	4	0.39	0.322	0.251	0.346
EUR.IBD_pwy895_pc4	R-HSA-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	6	4	4	0.39	0.322	0.251	0.346
EUR.IBD_pwy896_pc4	R-HSA-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	18	4	4	0.39	0.322	0.251	0.346
EUR.UC_pwy1174_pc3	R-HSA-5689603	UCH proteinases	20	3	3	0.009	1.16	0.983	0.021
EUR.UC_pwy175_pc4	R-HSA-199920	CREB phosphorylation	10	3	2	0.419	0.826	0.337	0.325
