factors	hsq	SE	zscore	pval	qvalues
pwy1_pc1	0.999999	0.785015	1.2738597351643	0.202713130456492	0.848587734084721
pwy1_pc2	0.425496	0.737646	0.576829536118951	0.564054614864396	0.999999263093018
pwy1_pc3	0.984104	0.572377	1.71932834477975	0.085554601550174	0.848587734084721
pwy1_pc4	0.999999	1.071972	0.932859253786479	0.350892642677256	0.896602651635892
pwy1_pc5	0.999999	0.642503	1.55641140975217	0.119610293769602	0.848587734084721
pwy10_pc1	0.999999	0.61518	1.62553886667317	0.104047789248574	0.848587734084721
pwy10_pc2	0.317133	0.919773	0.344794856991888	0.730248599786092	0.999999263093018
pwy10_pc3	0.999999	0.935613	1.06881691468588	0.28515217600361	0.848587734084721
pwy10_pc4	0.589191	0.597135	0.986696475671331	0.323791458325819	0.872782300312524
pwy10_pc5	1e-06	0.942519	1.06098656897102e-06	0.999999153455197	0.999999263093018
pwy100_pc1	1e-06	0.909844	1.0990895142464e-06	0.999999123053446	0.999999263093018
pwy100_pc2	0.936324	0.711516	1.31595635235188	0.188188692939237	0.848587734084721
pwy100_pc3	0.571779	0.495605	1.15369901433601	0.248623588157525	0.848587734084721
pwy100_pc4	0.832466	0.663837	1.25402169508479	0.209834119956065	0.848587734084721
pwy100_pc5	1e-06	0.842586	1.18682247272089e-06	0.999999053052673	0.999999263093018
pwy101_pc1	0.326384	0.815347	0.400300730854471	0.688935029716617	0.999999263093018
pwy101_pc2	0.768747	0.629695	1.22082436735245	0.222152525643783	0.848587734084721
pwy101_pc3	1e-06	0.844574	1.18402887136e-06	0.999999055281644	0.999999263093018
pwy101_pc4	0.489141	0.609877	0.802032213052796	0.422534324663535	0.937521226641367
pwy101_pc5	0.426329	0.60532	0.704303508887861	0.481243781607507	0.983486955678912
pwy102_pc1	0.999999	0.924716	1.08141202271833	0.27951387598815	0.848587734084721
pwy102_pc2	0.999999	0.722828	1.38345360168671	0.166525824742207	0.848587734084721
pwy102_pc3	0.329405	0.496692	0.663197716089649	0.50720393404753	0.999999263093018
pwy102_pc4	0.481965	0.753933	0.639267680284588	0.522648809940178	0.999999263093018
pwy102_pc5	0.735735	0.748806	0.98254421038293	0.325831813817745	0.875369052047673
pwy103_pc1	0.320592	0.890611	0.359968605822295	0.718870610928665	0.999999263093018
pwy103_pc2	0.536342	0.785812	0.682532208721679	0.494902483595353	0.999678333446972
pwy103_pc3	0.374365	0.467032	0.801583189160486	0.422794105138724	0.937521226641367
pwy103_pc4	1e-06	0.88157	1.13433987091212e-06	0.99999909492773	0.999999263093018
pwy103_pc5	1e-06	0.851516	1.17437605400251e-06	0.999999062983478	0.999999263093018
pwy104_pc1	0.999999	0.771643	1.29593477812926	0.194997956164214	0.848587734084721
pwy104_pc2	0.448296	0.796639	0.562734187003147	0.573615901131501	0.999999263093018
pwy104_pc3	0.550513	0.750727	0.733306514884905	0.463371502404508	0.973232529766268
pwy104_pc4	0.699622	0.630901	1.10892517209515	0.267462463684472	0.848587734084721
pwy104_pc5	0.086714	0.768257	0.112871083504608	0.910132761819121	0.999999263093018
pwy105_pc1	0.999999	0.779168	1.2834189802456	0.199345327740062	0.848587734084721
pwy105_pc2	0.041105	0.834356	0.0492655413276827	0.960707680193664	0.999999263093018
pwy105_pc3	0.262045	0.828029	0.31646838456141	0.751647018432593	0.999999263093018
pwy105_pc4	1e-06	0.707929	1.41257103466591e-06	0.99999887293138	0.999999263093018
pwy105_pc5	0.999999	0.754234	1.32584715088421	0.184890331379168	0.848587734084721
pwy106_pc1	0.889291	0.688336	1.29194317891262	0.196376822977013	0.848587734084721
pwy106_pc2	0.999999	0.649469	1.53971783102812	0.12362914848738	0.848587734084721
pwy106_pc3	0.999999	0.597443	1.67379816986725	0.0941702721596546	0.848587734084721
pwy106_pc4	0.102137	0.700303	0.145846869140929	0.884042275238755	0.999999263093018
pwy106_pc5	0.343893	0.659343	0.521569198429346	0.601970313837436	0.999999263093018
pwy107_pc1	0.600908	0.870596	0.690226006092378	0.49005207149094	0.993597441571116
pwy107_pc2	0.999999	0.844435	1.18422258669998	0.236324963432621	0.848587734084721
pwy107_pc3	1e-06	0.682564	1.46506408190294e-06	0.999998831047988	0.999999263093018
pwy107_pc4	0.241455	0.841878	0.286805214057144	0.774261470354579	0.999999263093018
pwy107_pc5	0.294188	0.553751	0.53126405189336	0.595235812553445	0.999999263093018
pwy108_pc1	0.376578	0.738622	0.509838591322761	0.610164546746513	0.999999263093018
pwy108_pc2	0.266278	0.862044	0.308891425495682	0.7574041195404	0.999999263093018
pwy108_pc3	0.885356	0.707005	1.25226271384219	0.210474150634069	0.848587734084721
pwy108_pc4	1e-06	0.810592	1.23366625873436e-06	0.999999015676739	0.999999263093018
pwy108_pc5	1e-06	0.813739	1.22889526002809e-06	0.999999019483445	0.999999263093018
pwy109_pc1	0.794577	0.800596	0.992481851020989	0.320962528450648	0.872414926325586
pwy109_pc2	0.788633	0.544055	1.44954646129527	0.14718503512781	0.848587734084721
