userId	geneSymbol	geneName	entrezgene	gLink
PPP2R5C	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	5527	https://www.ncbi.nlm.nih.gov/gene/?term=5527
GALNT11	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	63917	https://www.ncbi.nlm.nih.gov/gene/?term=63917
ATP1B3	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	483	https://www.ncbi.nlm.nih.gov/gene/?term=483
VPS37B	VPS37B	VPS37B, ESCRT-I subunit	79720	https://www.ncbi.nlm.nih.gov/gene/?term=79720
CCNT1	CCNT1	cyclin T1	904	https://www.ncbi.nlm.nih.gov/gene/?term=904
TERF1	TERF1	telomeric repeat binding factor 1	7013	https://www.ncbi.nlm.nih.gov/gene/?term=7013
CYTH3	CYTH3	cytohesin 3	9265	https://www.ncbi.nlm.nih.gov/gene/?term=9265
ZNF250	ZNF250	zinc finger protein 250	58500	https://www.ncbi.nlm.nih.gov/gene/?term=58500
CREM	CREM	cAMP responsive element modulator	1390	https://www.ncbi.nlm.nih.gov/gene/?term=1390
WNT11	WNT11	Wnt family member 11	7481	https://www.ncbi.nlm.nih.gov/gene/?term=7481
PLXND1	PLXND1	plexin D1	23129	https://www.ncbi.nlm.nih.gov/gene/?term=23129
BCR	BCR	BCR, RhoGEF and GTPase activating protein	613	https://www.ncbi.nlm.nih.gov/gene/?term=613
PER2	PER2	period circadian regulator 2	8864	https://www.ncbi.nlm.nih.gov/gene/?term=8864
PLEKHA2	PLEKHA2	pleckstrin homology domain containing A2	59339	https://www.ncbi.nlm.nih.gov/gene/?term=59339
CCNH	CCNH	cyclin H	902	https://www.ncbi.nlm.nih.gov/gene/?term=902
SATB1	SATB1	SATB homeobox 1	6304	https://www.ncbi.nlm.nih.gov/gene/?term=6304
AGPAT4	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	56895	https://www.ncbi.nlm.nih.gov/gene/?term=56895
DCTN6	DCTN6	dynactin subunit 6	10671	https://www.ncbi.nlm.nih.gov/gene/?term=10671
SLA2	SLA2	Src like adaptor 2	84174	https://www.ncbi.nlm.nih.gov/gene/?term=84174
SIRT2	SIRT2	sirtuin 2	22933	https://www.ncbi.nlm.nih.gov/gene/?term=22933
PDE4A	PDE4A	phosphodiesterase 4A	5141	https://www.ncbi.nlm.nih.gov/gene/?term=5141
DUSP16	DUSP16	dual specificity phosphatase 16	80824	https://www.ncbi.nlm.nih.gov/gene/?term=80824
B4GALT1	B4GALT1	beta-1,4-galactosyltransferase 1	2683	https://www.ncbi.nlm.nih.gov/gene/?term=2683
MADD	MADD	MAP kinase activating death domain	8567	https://www.ncbi.nlm.nih.gov/gene/?term=8567
TNFRSF9	TNFRSF9	TNF receptor superfamily member 9	3604	https://www.ncbi.nlm.nih.gov/gene/?term=3604
GRAMD4	GRAMD4	GRAM domain containing 4	23151	https://www.ncbi.nlm.nih.gov/gene/?term=23151
CNOT6L	CNOT6L	CCR4-NOT transcription complex subunit 6 like	246175	https://www.ncbi.nlm.nih.gov/gene/?term=246175
PRPF4	PRPF4	pre-mRNA processing factor 4	9128	https://www.ncbi.nlm.nih.gov/gene/?term=9128
MBOAT4	MBOAT4	membrane bound O-acyltransferase domain containing 4	619373	https://www.ncbi.nlm.nih.gov/gene/?term=619373
MRPL1	MRPL1	mitochondrial ribosomal protein L1	65008	https://www.ncbi.nlm.nih.gov/gene/?term=65008
NCR1	NCR1	natural cytotoxicity triggering receptor 1	9437	https://www.ncbi.nlm.nih.gov/gene/?term=9437
FYN	FYN	FYN proto-oncogene, Src family tyrosine kinase	2534	https://www.ncbi.nlm.nih.gov/gene/?term=2534
PIK3R1	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	5295	https://www.ncbi.nlm.nih.gov/gene/?term=5295
ITPKB	ITPKB	inositol-trisphosphate 3-kinase B	3707	https://www.ncbi.nlm.nih.gov/gene/?term=3707
PDCD4	PDCD4	programmed cell death 4	27250	https://www.ncbi.nlm.nih.gov/gene/?term=27250
NTRK1	NTRK1	neurotrophic receptor tyrosine kinase 1	4914	https://www.ncbi.nlm.nih.gov/gene/?term=4914
RAMP1	RAMP1	receptor activity modifying protein 1	10267	https://www.ncbi.nlm.nih.gov/gene/?term=10267
ZNF331	ZNF331	zinc finger protein 331	55422	https://www.ncbi.nlm.nih.gov/gene/?term=55422
RNF125	RNF125	ring finger protein 125	54941	https://www.ncbi.nlm.nih.gov/gene/?term=54941
ALG12	ALG12	ALG12, alpha-1,6-mannosyltransferase	79087	https://www.ncbi.nlm.nih.gov/gene/?term=79087
ABL1	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	https://www.ncbi.nlm.nih.gov/gene/?term=25
NR4A2	NR4A2	nuclear receptor subfamily 4 group A member 2	4929	https://www.ncbi.nlm.nih.gov/gene/?term=4929
RAPGEF1	RAPGEF1	Rap guanine nucleotide exchange factor 1	2889	https://www.ncbi.nlm.nih.gov/gene/?term=2889
IRF4	IRF4	interferon regulatory factor 4	3662	https://www.ncbi.nlm.nih.gov/gene/?term=3662
BAK1	BAK1	BCL2 antagonist/killer 1	578	https://www.ncbi.nlm.nih.gov/gene/?term=578
SFXN3	SFXN3	sideroflexin 3	81855	https://www.ncbi.nlm.nih.gov/gene/?term=81855
TLE1	TLE1	TLE family member 1, transcriptional corepressor	7088	https://www.ncbi.nlm.nih.gov/gene/?term=7088
WIPF1	WIPF1	WAS/WASL interacting protein family member 1	7456	https://www.ncbi.nlm.nih.gov/gene/?term=7456
LPCAT1	LPCAT1	lysophosphatidylcholine acyltransferase 1	79888	https://www.ncbi.nlm.nih.gov/gene/?term=79888
TGIF2	TGIF2	TGFB induced factor homeobox 2	60436	https://www.ncbi.nlm.nih.gov/gene/?term=60436
MAF	MAF	MAF bZIP transcription factor	4094	https://www.ncbi.nlm.nih.gov/gene/?term=4094
SH2D2A	SH2D2A	SH2 domain containing 2A	9047	https://www.ncbi.nlm.nih.gov/gene/?term=9047
GALR2	GALR2	galanin receptor 2	8811	https://www.ncbi.nlm.nih.gov/gene/?term=8811
ZNF571	ZNF571	zinc finger protein 571	51276	https://www.ncbi.nlm.nih.gov/gene/?term=51276
FOSL2	FOSL2	FOS like 2, AP-1 transcription factor subunit	2355	https://www.ncbi.nlm.nih.gov/gene/?term=2355
SPTBN4	SPTBN4	spectrin beta, non-erythrocytic 4	57731	https://www.ncbi.nlm.nih.gov/gene/?term=57731
HGSNAT	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	138050	https://www.ncbi.nlm.nih.gov/gene/?term=138050
MRPL10	MRPL10	mitochondrial ribosomal protein L10	124995	https://www.ncbi.nlm.nih.gov/gene/?term=124995
PDE7A	PDE7A	phosphodiesterase 7A	5150	https://www.ncbi.nlm.nih.gov/gene/?term=5150
